#{"t_start": 1779209359.175848, "env_id": "None"}
r,l,t
116.85,53,26.204252
122.0,46,26.210715
92.8,70,26.220146
132.7,34,26.224785
142.35,25,26.228169
121.7,40,26.233551
115.4,46,26.239927
130.7,36,26.245026
127.75,33,26.249627
113.85,43,26.255571
139.1,28,26.25947
103.3,72,26.269666
141.25,25,26.273385
125.75,37,26.278463
104.1,50,26.285227
125.85,43,26.291065
130.5,36,26.295973
102.65,71,26.305619
132.85,37,26.310608
135.15,35,26.315337
114.0,54,26.322662
129.85,31,26.326884
140.0,26,26.330411
141.85,27,26.334076
143.2,24,26.688539
132.85,35,26.693697
132.4,38,26.699108
135.75,27,26.702844
130.05,41,26.708849
132.0,36,26.713931
134.15,31,26.718301
126.7,44,26.724552
126.55,37,26.729596
139.05,27,26.733301
112.55,51,26.740354
117.25,49,26.747159
83.45,85,26.759342
131.95,35,26.764297
129.75,37,26.769501
134.05,29,26.773801
135.6,28,26.777778
135.8,28,26.781763
127.85,41,26.787617
143.15,31,26.792081
135.75,25,26.795632
116.8,52,26.803004
145.0,20,26.805938
128.75,39,26.811696
139.9,24,26.815108
137.7,30,26.819286
135.9,30,26.823652
130.95,31,26.827932
139.95,27,26.831594
131.75,31,26.835785
129.85,35,26.840726
138.05,33,26.845332
128.85,31,26.849672
143.95,21,26.852582
128.55,37,26.857773
132.2,32,26.862142
136.05,27,26.865784
138.05,23,26.868898
136.9,28,26.872786
142.3,24,26.876125
137.3,30,26.880267
114.45,61,26.88868
133.95,31,26.892864
126.35,45,26.898909
133.0,32,26.903228
139.05,25,26.906788
136.2,30,26.91103
126.45,37,26.916202
133.8,30,26.920451
128.6,30,26.924688
126.7,40,26.930331
141.0,28,26.934302
137.1,26,26.937988
137.1,28,26.941947
136.05,25,26.945468
132.9,30,26.949696
135.85,33,26.954332
139.1,26,26.958041
121.8,36,26.963101
140.15,27,26.966909
120.45,47,27.310961
137.2,28,27.314926
122.5,42,27.320712
136.75,23,27.324088
42.3,140,27.344257
139.9,24,27.347717
137.0,24,27.351121
136.9,30,27.355577
134.65,31,27.360181
123.0,42,27.366292
128.85,29,27.370388
130.8,32,27.375041
147.1,20,27.37796
136.05,31,27.382245
135.75,31,27.386581
141.2,24,27.390187
133.65,35,27.395314
138.8,26,27.399088
144.05,25,27.402943
123.35,37,27.408339
143.0,28,27.412283
139.05,25,27.415808
136.2,32,27.420267
138.8,26,27.424225
141.95,23,27.427497
131.85,29,27.431572
139.15,27,27.435391
133.65,33,27.440182
